
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
554	27.750000	-0.097487	-0.070909
555	27.800000	-0.100896	-0.065437
556	27.850000	-0.104028	-0.059843
557	27.900000	-0.106878	-0.054141
558	27.950000	-0.109441	-0.048348
559	28.000000	-0.111712	-0.042477
560	28.050000	-0.113687	-0.036545
561	28.100000	-0.115365	-0.030565
562	28.150000	-0.116743	-0.024555
563	28.200000	-0.117821	-0.018528
564	28.250000	-0.118596	-0.012500
565	28.300000	-0.119071	-0.006486
566	28.350000	-0.119245	-0.000500
567	28.400000	-0.119122	0.005442
568	28.450000	-0.118702	0.011325
569	28.500000	-0.117990	0.017137
570	28.550000	-0.116990	0.022863
571	28.600000	-0.115706	0.028489
572	28.650000	-0.114143	0.034002
573	28.700000	-0.112307	0.039389
574	28.750000	-0.110206	0.044638
575	28.800000	-0.107846	0.049736
576	28.850000	-0.105235	0.054672
577	28.900000	-0.102382	0.059436
578	28.950000	-0.099295	0.064016
579	29.000000	-0.095984	0.068402
580	29.050000	-0.092458	0.072585
581	29.100000	-0.088729	0.076556
582	29.150000	-0.084806	0.080307
583	29.200000	-0.080702	0.083829
584	29.250000	-0.076427	0.087117
585	29.300000	-0.071994	0.090163
586	29.350000	-0.067415	0.092962
587	29.400000	-0.062702	0.095509
588	29.450000	-0.057868	0.097798
589	29.500000	-0.052927	0.099828
590	29.550000	-0.047890	0.101593
591	29.600000	-0.042772	0.103092
592	29.650000	-0.037585	0.104323
593	29.700000	-0.032344	0.105285
594	29.750000	-0.027061	0.105978
595	29.800000	-0.021751	0.106402
596	29.850000	-0.016425	0.106558
597	29.900000	-0.011099	0.106447
598	29.950000	-0.005785	0.106072
599	30.000000	-0.000496	0.105435
600	30.050000	0.004754	0.104541
601	30.100000	0.009954	0.103393
602	30.150000	0.015089	0.101997
603	30.200000	0.020149	0.100356
604	30.250000	0.025121	0.098478
605	30.300000	0.029993	0.096369
606	30.350000	0.034754	0.094036
607	30.400000	0.039393	0.091486
608	30.450000	0.043899	0.088727
609	30.500000	0.048262	0.085768
610	30.550000	0.052473	0.082617
611	30.600000	0.056521	0.079285
